,Min Delay
27215,Medium Delay
18293,Short Delay
2934,Short Delay
8582,Short Delay
5910,Short Delay
18443,Long Delay
9391,Short Delay
31788,Short Delay
30523,Short Delay
2919,Medium Delay
5776,Medium Delay
23591,Short Delay
19556,Medium Delay
3183,Short Delay
23932,Long Delay
8641,Medium Delay
8944,Short Delay
5163,Short Delay
18323,Long Delay
20460,Medium Delay
18676,Medium Delay
34810,Short Delay
20058,Short Delay
10913,Short Delay
20324,Short Delay
27298,Medium Delay
15021,Long Delay
1478,Short Delay
9182,Long Delay
31220,Short Delay
9894,Short Delay
1294,Medium Delay
26139,Medium Delay
26574,Short Delay
29002,Short Delay
24797,Short Delay
30870,Short Delay
32255,Short Delay
26584,Medium Delay
22290,Medium Delay
31718,Medium Delay
14427,Short Delay
34917,Short Delay
12910,Short Delay
26621,Medium Delay
16198,Medium Delay
5246,Short Delay
494,Short Delay
24984,Medium Delay
25839,Medium Delay
3274,Short Delay
16285,Short Delay
7848,Medium Delay
18478,Short Delay
25551,Medium Delay
5333,Medium Delay
16244,Short Delay
29075,Medium Delay
27748,Short Delay
24282,Medium Delay
25016,Short Delay
28370,Medium Delay
31382,Long Delay
4898,Short Delay
34211,Short Delay
15277,Medium Delay
2313,Medium Delay
836,Medium Delay
30763,Long Delay
9746,Short Delay
5203,Short Delay
28264,Short Delay
6950,Medium Delay
6551,Medium Delay
25456,Medium Delay
5893,Medium Delay
34511,Long Delay
13005,Medium Delay
19128,Medium Delay
413,Short Delay
13631,Long Delay
9852,Short Delay
30489,Medium Delay
4635,Short Delay
1642,Medium Delay
27861,Short Delay
9765,Medium Delay
13521,Medium Delay
21996,Short Delay
14441,Short Delay
32417,Short Delay
31700,Medium Delay
14035,Medium Delay
3370,Short Delay
14987,Long Delay
26793,Medium Delay
25325,Short Delay
32837,Medium Delay
24844,Medium Delay
14749,Short Delay
26708,Short Delay
34880,Short Delay
11574,Medium Delay
12729,Medium Delay
2383,Short Delay
33803,Short Delay
24858,Short Delay
24256,Short Delay
22177,Short Delay
25532,Medium Delay
16223,Short Delay
9235,Medium Delay
5765,Short Delay
21916,Short Delay
24611,Medium Delay
11981,Medium Delay
15959,Short Delay
9437,Short Delay
5029,Short Delay
22345,Medium Delay
33735,Short Delay
16343,Medium Delay
16731,Medium Delay
15824,Short Delay
745,Short Delay
32723,Medium Delay
26704,Short Delay
23165,Short Delay
17869,Short Delay
5433,Medium Delay
19513,Medium Delay
12458,Medium Delay
15864,Short Delay
7611,Medium Delay
32071,Short Delay
21265,Medium Delay
19014,Short Delay
14212,Short Delay
25513,Long Delay
26819,Medium Delay
34248,Short Delay
6545,Short Delay
25884,Short Delay
13011,Medium Delay
25817,Medium Delay
29854,Medium Delay
11880,Medium Delay
32204,Short Delay
27650,Short Delay
27152,Short Delay
1344,Medium Delay
10069,Short Delay
24366,Short Delay
4084,Long Delay
19244,Medium Delay
33066,Short Delay
18170,Short Delay
15551,Short Delay
11673,Long Delay
8942,Medium Delay
521,Medium Delay
20855,Short Delay
6522,Medium Delay
29880,Medium Delay
15005,Short Delay
2335,Long Delay
35207,Short Delay
10419,Medium Delay
741,Short Delay
9463,Short Delay
7835,Short Delay
30036,Medium Delay
3731,Long Delay
6471,Short Delay
22968,Short Delay
10834,Short Delay
14440,Short Delay
4659,Medium Delay
12092,Short Delay
8041,Short Delay
437,Short Delay
20424,Long Delay
20172,Medium Delay
5896,Long Delay
20738,Medium Delay
20910,Short Delay
4098,Short Delay
19264,Short Delay
21351,Short Delay
11137,Short Delay
30861,Short Delay
31002,Short Delay
20856,Short Delay
28227,Medium Delay
29416,Short Delay
33480,Short Delay
19590,Short Delay
7758,Short Delay
11919,Short Delay
6221,Medium Delay
17949,Short Delay
1363,Short Delay
9277,Short Delay
22143,Short Delay
31362,Medium Delay
20945,Long Delay
18122,Short Delay
13471,Medium Delay
26918,Medium Delay
15287,Short Delay
27193,Short Delay
17776,Short Delay
5882,Short Delay
23978,Medium Delay
34130,Medium Delay
665,Medium Delay
4417,Medium Delay
18510,Medium Delay
12361,Short Delay
27869,Short Delay
14791,Short Delay
7197,Medium Delay
7852,Short Delay
10620,Short Delay
4794,Short Delay
23045,Medium Delay
15900,Short Delay
1480,Medium Delay
13792,Medium Delay
486,Short Delay
5526,Short Delay
18741,Short Delay
824,Short Delay
26923,Medium Delay
12229,Medium Delay
3153,Short Delay
18108,Long Delay
17960,Short Delay
27815,Short Delay
11161,Medium Delay
34521,Short Delay
31539,Medium Delay
1539,Medium Delay
35017,Long Delay
11234,Short Delay
34795,Medium Delay
6087,Short Delay
21022,Short Delay
8065,Short Delay
30533,Medium Delay
19387,Medium Delay
16468,Short Delay
15913,Medium Delay
492,Short Delay
32402,Medium Delay
29059,Medium Delay
9081,Short Delay
31053,Short Delay
33284,Short Delay
11107,Short Delay
14553,Short Delay
3696,Short Delay
34550,Short Delay
22161,Medium Delay
34464,Short Delay
7879,Medium Delay
14736,Medium Delay
4585,Medium Delay
314,Short Delay
4303,Medium Delay
30559,Long Delay
29590,Medium Delay
29644,Short Delay
10444,Short Delay
34628,Medium Delay
24334,Medium Delay
26839,Medium Delay
15213,Short Delay
31721,Short Delay
2466,Medium Delay
8270,Medium Delay
23650,Medium Delay
24855,Medium Delay
34312,Long Delay
34701,Short Delay
12302,Short Delay
12073,Medium Delay
17153,Short Delay
11033,Short Delay
20240,Short Delay
270,Short Delay
12553,Short Delay
12004,Short Delay
34078,Medium Delay
13153,Short Delay
11540,Short Delay
29651,Short Delay
33408,Medium Delay
17018,Short Delay
18624,Long Delay
33736,Long Delay
10323,Medium Delay
21936,Short Delay
12559,Short Delay
17312,Medium Delay
4307,Medium Delay
9117,Short Delay
25300,Medium Delay
5746,Medium Delay
1537,Medium Delay
21893,Short Delay
15629,Short Delay
4573,Short Delay
2516,Short Delay
17053,Medium Delay
9973,Short Delay
2715,Short Delay
29123,Short Delay
7352,Medium Delay
7665,Medium Delay
32498,Short Delay
11155,Long Delay
26347,Short Delay
19144,Medium Delay
10869,Short Delay
753,Medium Delay
22116,Medium Delay
33461,Medium Delay
13140,Short Delay
877,Medium Delay
30630,Short Delay
32497,Short Delay
9581,Short Delay
24465,Short Delay
23470,Medium Delay
16884,Long Delay
11126,Medium Delay
334,Medium Delay
2316,Short Delay
7367,Short Delay
21744,Medium Delay
1804,Medium Delay
22750,Medium Delay
440,Short Delay
25643,Long Delay
21186,Medium Delay
11729,Medium Delay
17055,Long Delay
13065,Short Delay
205,Medium Delay
22200,Medium Delay
20182,Short Delay
8312,Short Delay
24534,Short Delay
4372,Short Delay
30915,Short Delay
18782,Short Delay
34161,Long Delay
9569,Short Delay
35056,Short Delay
24673,Medium Delay
13307,Medium Delay
24959,Medium Delay
27146,Short Delay
23162,Short Delay
13957,Short Delay
20435,Medium Delay
24969,Short Delay
32201,Long Delay
15817,Short Delay
2961,Short Delay
21484,Short Delay
4827,Medium Delay
27726,Short Delay
32878,Medium Delay
18371,Short Delay
16256,Short Delay
303,Short Delay
27986,Short Delay
27230,Short Delay
15018,Long Delay
26318,Medium Delay
23401,Short Delay
31582,Short Delay
25308,Medium Delay
3432,Long Delay
9722,Medium Delay
30656,Short Delay
5489,Short Delay
6841,Medium Delay
218,Medium Delay
27497,Medium Delay
27124,Short Delay
28617,Short Delay
752,Short Delay
4049,Medium Delay
7847,Short Delay
19811,Medium Delay
14297,Long Delay
1675,Short Delay
5045,Medium Delay
33470,Short Delay
29188,Short Delay
9547,Medium Delay
32812,Short Delay
24554,Short Delay
3957,Medium Delay
3400,Short Delay
211,Short Delay
8529,Short Delay
8800,Short Delay
29111,Short Delay
22699,Short Delay
24150,Short Delay
29965,Medium Delay
23498,Short Delay
27600,Medium Delay
3111,Medium Delay
987,Medium Delay
13108,Medium Delay
12956,Long Delay
11871,Medium Delay
6599,Medium Delay
21230,Short Delay
26118,Medium Delay
905,Medium Delay
32035,Short Delay
11262,Medium Delay
1021,Short Delay
1616,Medium Delay
24660,Medium Delay
11510,Short Delay
9071,Medium Delay
25423,Long Delay
2774,Medium Delay
18761,Short Delay
4701,Long Delay
27787,Medium Delay
12862,Short Delay
33605,Short Delay
16339,Short Delay
7678,Short Delay
33171,Medium Delay
24210,Short Delay
3528,Medium Delay
2526,Short Delay
15679,Medium Delay
8429,Medium Delay
30959,Medium Delay
29969,Short Delay
2228,Short Delay
25172,Short Delay
23307,Medium Delay
14576,Medium Delay
28664,Medium Delay
11003,Short Delay
7677,Short Delay
5964,Long Delay
23225,Short Delay
12421,Medium Delay
27494,Short Delay
31846,Short Delay
1551,Long Delay
29114,Medium Delay
7139,Short Delay
7436,Short Delay
28183,Short Delay
2761,Medium Delay
35061,Short Delay
16517,Medium Delay
9138,Short Delay
330,Medium Delay
17357,Short Delay
31908,Medium Delay
28170,Short Delay
22232,Medium Delay
22979,Short Delay
6994,Long Delay
16178,Short Delay
9192,Short Delay
34645,Short Delay
23447,Short Delay
20050,Short Delay
29057,Short Delay
1160,Medium Delay
9949,Long Delay
729,Short Delay
15448,Medium Delay
23874,Short Delay
17674,Short Delay
10313,Short Delay
34496,Medium Delay
24290,Medium Delay
25474,Short Delay
19909,Medium Delay
30172,Medium Delay
6690,Short Delay
11119,Short Delay
18388,Medium Delay
10654,Medium Delay
13034,Short Delay
11961,Short Delay
26374,Long Delay
28972,Medium Delay
2021,Short Delay
5830,Long Delay
13744,Medium Delay
3866,Medium Delay
16988,Short Delay
28448,Short Delay
16112,Short Delay
4118,Medium Delay
22562,Medium Delay
18269,Medium Delay
20962,Short Delay
34613,Short Delay
19747,Short Delay
14456,Short Delay
15392,Short Delay
21063,Medium Delay
34193,Short Delay
21979,Short Delay
4753,Medium Delay
4219,Short Delay
20996,Medium Delay
30220,Medium Delay
34625,Short Delay
5754,Short Delay
33850,Medium Delay
28928,Short Delay
18272,Medium Delay
22165,Medium Delay
814,Short Delay
14403,Short Delay
23752,Medium Delay
23806,Short Delay
20007,Short Delay
23919,Medium Delay
5503,Medium Delay
17513,Long Delay
17943,Short Delay
20809,Short Delay
30840,Medium Delay
20864,Short Delay
5251,Short Delay
13045,Medium Delay
27622,Short Delay
5905,Short Delay
17603,Short Delay
21924,Medium Delay
24396,Medium Delay
17427,Short Delay
24399,Medium Delay
22293,Short Delay
4359,Short Delay
7254,Short Delay
25995,Medium Delay
30565,Short Delay
12557,Medium Delay
25265,Medium Delay
4272,Short Delay
25625,Short Delay
17479,Short Delay
27866,Short Delay
15590,Short Delay
1632,Short Delay
21269,Medium Delay
25031,Short Delay
16111,Short Delay
31517,Medium Delay
20434,Medium Delay
8550,Medium Delay
7005,Medium Delay
18762,Short Delay
24147,Short Delay
26521,Medium Delay
2473,Short Delay
30195,Short Delay
12715,Medium Delay
19237,Medium Delay
32389,Medium Delay
802,Medium Delay
19205,Short Delay
29719,Medium Delay
6249,Short Delay
3852,Medium Delay
5105,Short Delay
26598,Short Delay
7904,Short Delay
4835,Medium Delay
15411,Short Delay
25410,Short Delay
525,Medium Delay
1617,Medium Delay
3219,Short Delay
2060,Short Delay
29599,Medium Delay
14454,Medium Delay
3596,Medium Delay
8031,Medium Delay
3174,Medium Delay
10756,Short Delay
11730,Medium Delay
17673,Short Delay
33764,Short Delay
1391,Short Delay
34509,Medium Delay
30580,Medium Delay
14574,Medium Delay
24904,Medium Delay
4088,Short Delay
13788,Long Delay
20143,Medium Delay
23230,Short Delay
31512,Medium Delay
13360,Medium Delay
23702,Short Delay
6693,Medium Delay
11890,Short Delay
1217,Short Delay
19682,Medium Delay
837,Medium Delay
31704,Short Delay
20592,Medium Delay
35186,Medium Delay
29424,Short Delay
12830,Medium Delay
34208,Medium Delay
23384,Short Delay
24997,Short Delay
24822,Medium Delay
33436,Medium Delay
27064,Short Delay
7938,Medium Delay
14273,Medium Delay
20533,Short Delay
26065,Short Delay
30428,Medium Delay
15980,Short Delay
24903,Short Delay
22019,Short Delay
25748,Short Delay
25199,Short Delay
22610,Medium Delay
18663,Medium Delay
29177,Medium Delay
2854,Long Delay
8849,Long Delay
27008,Short Delay
15137,Short Delay
2995,Medium Delay
26005,Long Delay
2518,Short Delay
28144,Short Delay
2032,Long Delay
29367,Short Delay
35219,Short Delay
32447,Short Delay
9238,Short Delay
22474,Long Delay
20013,Short Delay
7017,Medium Delay
542,Short Delay
7093,Medium Delay
6817,Medium Delay
17460,Medium Delay
5752,Medium Delay
19871,Medium Delay
13745,Short Delay
22223,Medium Delay
16774,Medium Delay
3811,Short Delay
24324,Medium Delay
16292,Short Delay
12631,Medium Delay
13499,Short Delay
10584,Short Delay
17904,Medium Delay
33835,Short Delay
22570,Short Delay
16922,Short Delay
3441,Medium Delay
20011,Short Delay
18244,Medium Delay
15204,Short Delay
336,Short Delay
329,Short Delay
26940,Medium Delay
22045,Medium Delay
34096,Short Delay
8607,Short Delay
14869,Short Delay
8902,Short Delay
12056,Short Delay
27883,Short Delay
26667,Medium Delay
11252,Medium Delay
2852,Medium Delay
34132,Short Delay
17613,Short Delay
2610,Short Delay
32099,Medium Delay
19179,Short Delay
34284,Medium Delay
4550,Medium Delay
16098,Medium Delay
3553,Medium Delay
25312,Short Delay
9059,Medium Delay
19559,Medium Delay
26156,Long Delay
17811,Medium Delay
18730,Short Delay
16966,Short Delay
24896,Medium Delay
9776,Short Delay
23053,Short Delay
33509,Medium Delay
34341,Medium Delay
17000,Medium Delay
19500,Short Delay
32430,Medium Delay
29938,Short Delay
31483,Short Delay
9263,Long Delay
17504,Medium Delay
14962,Short Delay
5852,Long Delay
16240,Medium Delay
15238,Short Delay
10716,Medium Delay
26340,Short Delay
17994,Short Delay
20704,Medium Delay
4942,Short Delay
34587,Long Delay
20745,Short Delay
6629,Medium Delay
26265,Long Delay
19709,Short Delay
4120,Medium Delay
3112,Short Delay
20475,Short Delay
23182,Short Delay
18687,Medium Delay
29074,Medium Delay
5544,Short Delay
25401,Medium Delay
4793,Medium Delay
33330,Medium Delay
11518,Medium Delay
34009,Short Delay
28477,Short Delay
6498,Medium Delay
34999,Medium Delay
28835,Long Delay
35069,Short Delay
1798,Medium Delay
24570,Short Delay
12790,Medium Delay
30217,Short Delay
12253,Medium Delay
17693,Long Delay
33377,Medium Delay
32580,Short Delay
15718,Medium Delay
6007,Medium Delay
18967,Short Delay
6170,Short Delay
2544,Short Delay
32135,Short Delay
26538,Short Delay
4053,Medium Delay
17056,Short Delay
