,Min Delay
5546,Short Delay
29414,Short Delay
12602,Short Delay
32351,Short Delay
12082,Short Delay
30070,Short Delay
10665,Short Delay
2680,Short Delay
17096,Short Delay
18516,Long Delay
12598,Medium Delay
491,Short Delay
1209,Short Delay
25104,Long Delay
26635,Short Delay
9259,Medium Delay
5170,Short Delay
18227,Medium Delay
13130,Short Delay
7200,Short Delay
1898,Medium Delay
12899,Medium Delay
8885,Medium Delay
3479,Long Delay
29635,Short Delay
13655,Short Delay
19402,Medium Delay
13259,Long Delay
184,Medium Delay
29392,Medium Delay
32648,Short Delay
32777,Short Delay
1351,Short Delay
8314,Short Delay
14004,Short Delay
25951,Medium Delay
22133,Short Delay
17947,Medium Delay
6699,Medium Delay
8174,Medium Delay
12916,Medium Delay
10158,Long Delay
3269,Medium Delay
24600,Medium Delay
1988,Long Delay
31847,Medium Delay
23156,Medium Delay
25409,Short Delay
28978,Medium Delay
31311,Short Delay
16281,Short Delay
13387,Medium Delay
26963,Long Delay
27890,Long Delay
23464,Medium Delay
20924,Long Delay
30752,Medium Delay
12273,Medium Delay
13574,Medium Delay
35245,Long Delay
8057,Short Delay
28229,Short Delay
10167,Short Delay
31792,Short Delay
26028,Medium Delay
1125,Short Delay
30393,Short Delay
21450,Short Delay
15268,Medium Delay
10093,Medium Delay
6695,Short Delay
24499,Short Delay
3516,Short Delay
6589,Short Delay
5665,Medium Delay
18055,Short Delay
22762,Medium Delay
16537,Medium Delay
13938,Short Delay
14934,Medium Delay
7627,Medium Delay
9527,Short Delay
29750,Medium Delay
20789,Short Delay
10173,Short Delay
2636,Medium Delay
2387,Short Delay
30740,Medium Delay
18422,Medium Delay
27664,Medium Delay
31859,Medium Delay
3701,Short Delay
3563,Short Delay
12017,Short Delay
32215,Short Delay
10442,Medium Delay
9782,Short Delay
26119,Short Delay
18262,Long Delay
30673,Medium Delay
16879,Medium Delay
11557,Long Delay
10293,Long Delay
8771,Medium Delay
34429,Medium Delay
10416,Short Delay
7937,Short Delay
23532,Long Delay
18529,Short Delay
10006,Short Delay
32535,Short Delay
29754,Medium Delay
12643,Short Delay
4497,Short Delay
15644,Medium Delay
16215,Short Delay
1250,Medium Delay
9486,Short Delay
24118,Short Delay
26625,Short Delay
34620,Short Delay
9579,Short Delay
5162,Medium Delay
9064,Medium Delay
12943,Medium Delay
27658,Short Delay
14607,Short Delay
31396,Medium Delay
7165,Long Delay
16889,Medium Delay
2284,Medium Delay
5854,Medium Delay
9177,Long Delay
7862,Short Delay
14140,Short Delay
21282,Short Delay
33993,Short Delay
6495,Short Delay
24254,Medium Delay
23239,Short Delay
1109,Short Delay
5891,Short Delay
19217,Short Delay
11724,Short Delay
13289,Long Delay
25492,Medium Delay
20227,Short Delay
31905,Long Delay
9142,Short Delay
11887,Long Delay
28095,Long Delay
29202,Short Delay
34706,Short Delay
34610,Medium Delay
12744,Short Delay
10072,Long Delay
7244,Medium Delay
6053,Short Delay
17045,Short Delay
28092,Short Delay
33020,Short Delay
14808,Long Delay
23703,Short Delay
10154,Short Delay
5599,Short Delay
2622,Short Delay
7620,Medium Delay
6952,Medium Delay
20391,Medium Delay
3550,Short Delay
10424,Short Delay
34356,Long Delay
3062,Medium Delay
29999,Medium Delay
26873,Long Delay
33771,Short Delay
8989,Medium Delay
7077,Short Delay
16672,Short Delay
26579,Medium Delay
68,Medium Delay
9207,Medium Delay
14949,Short Delay
33496,Short Delay
6341,Short Delay
8115,Long Delay
20268,Short Delay
18974,Short Delay
6745,Medium Delay
32270,Medium Delay
27880,Medium Delay
2090,Short Delay
2739,Medium Delay
33998,Short Delay
18140,Long Delay
7693,Short Delay
32181,Long Delay
1969,Medium Delay
33042,Short Delay
345,Medium Delay
3090,Medium Delay
6829,Short Delay
18136,Long Delay
28678,Medium Delay
16151,Short Delay
6870,Short Delay
3283,Medium Delay
28773,Short Delay
12230,Long Delay
30791,Long Delay
19568,Medium Delay
24125,Medium Delay
14863,Long Delay
25917,Short Delay
30686,Short Delay
20960,Long Delay
27756,Short Delay
22694,Short Delay
16328,Short Delay
25819,Long Delay
2596,Long Delay
27096,Medium Delay
3139,Short Delay
18779,Short Delay
27740,Short Delay
12903,Medium Delay
29472,Medium Delay
23561,Short Delay
34098,Short Delay
27806,Medium Delay
30132,Medium Delay
23212,Short Delay
178,Short Delay
10720,Medium Delay
30483,Short Delay
4294,Short Delay
25650,Short Delay
16046,Medium Delay
8184,Long Delay
15559,Medium Delay
8255,Medium Delay
14195,Medium Delay
3740,Short Delay
26049,Short Delay
16699,Short Delay
2996,Short Delay
32261,Medium Delay
15471,Short Delay
25023,Medium Delay
31682,Medium Delay
13929,Medium Delay
2649,Medium Delay
28585,Short Delay
12362,Short Delay
19019,Long Delay
6588,Short Delay
23170,Short Delay
23217,Medium Delay
28755,Short Delay
22814,Short Delay
12800,Medium Delay
5527,Medium Delay
34976,Short Delay
26548,Short Delay
33393,Short Delay
18382,Medium Delay
23605,Long Delay
1666,Short Delay
8787,Medium Delay
1260,Short Delay
555,Long Delay
31095,Medium Delay
10688,Medium Delay
7100,Medium Delay
19275,Medium Delay
22888,Long Delay
33976,Short Delay
23359,Short Delay
22722,Long Delay
22883,Long Delay
28528,Short Delay
18949,Medium Delay
13167,Medium Delay
31030,Medium Delay
15270,Long Delay
31928,Medium Delay
27174,Medium Delay
14385,Short Delay
28076,Long Delay
27938,Medium Delay
19032,Long Delay
33048,Short Delay
22960,Short Delay
5605,Long Delay
5506,Medium Delay
2519,Short Delay
29589,Short Delay
12415,Short Delay
19236,Medium Delay
27345,Short Delay
29175,Medium Delay
3625,Medium Delay
34518,Medium Delay
5370,Medium Delay
1486,Short Delay
4521,Short Delay
31740,Long Delay
29970,Medium Delay
14908,Short Delay
19674,Short Delay
17288,Medium Delay
3138,Short Delay
27062,Short Delay
29477,Short Delay
16219,Short Delay
3666,Medium Delay
12905,Long Delay
850,Long Delay
4603,Medium Delay
1515,Short Delay
27458,Medium Delay
29091,Medium Delay
23362,Short Delay
26973,Medium Delay
6730,Short Delay
24816,Medium Delay
10509,Short Delay
3374,Short Delay
12036,Long Delay
28053,Medium Delay
31958,Short Delay
24998,Medium Delay
26501,Medium Delay
18808,Medium Delay
14072,Medium Delay
32802,Short Delay
27307,Short Delay
16664,Short Delay
11651,Short Delay
14305,Long Delay
32749,Medium Delay
28426,Long Delay
9534,Long Delay
19829,Medium Delay
33412,Short Delay
20377,Short Delay
18661,Short Delay
22416,Short Delay
9968,Long Delay
4181,Medium Delay
34485,Medium Delay
13544,Medium Delay
3233,Medium Delay
30066,Short Delay
23348,Medium Delay
265,Medium Delay
21954,Short Delay
18163,Short Delay
2528,Short Delay
6710,Short Delay
10180,Long Delay
5880,Short Delay
19102,Short Delay
10835,Medium Delay
15280,Medium Delay
12658,Long Delay
9607,Short Delay
20523,Short Delay
25046,Medium Delay
1314,Short Delay
31309,Short Delay
6771,Short Delay
11867,Medium Delay
19375,Medium Delay
6819,Short Delay
27380,Short Delay
18482,Medium Delay
15441,Long Delay
22709,Short Delay
21588,Short Delay
34277,Short Delay
19320,Short Delay
2042,Short Delay
34368,Short Delay
20639,Medium Delay
23822,Short Delay
14301,Long Delay
31566,Medium Delay
2229,Medium Delay
1060,Medium Delay
5744,Medium Delay
6465,Short Delay
3723,Medium Delay
8662,Medium Delay
31797,Medium Delay
31027,Medium Delay
13163,Medium Delay
6542,Medium Delay
2865,Short Delay
29607,Short Delay
25080,Long Delay
8276,Medium Delay
21033,Short Delay
21686,Short Delay
284,Short Delay
32451,Medium Delay
35240,Medium Delay
30297,Medium Delay
9395,Medium Delay
12708,Short Delay
9088,Short Delay
31207,Short Delay
34966,Long Delay
7057,Medium Delay
26082,Short Delay
8164,Long Delay
18696,Short Delay
50,Long Delay
29980,Medium Delay
13073,Medium Delay
35084,Short Delay
3209,Medium Delay
32728,Medium Delay
9890,Short Delay
17351,Medium Delay
22312,Short Delay
3531,Short Delay
16706,Short Delay
232,Short Delay
10090,Short Delay
16407,Short Delay
9414,Short Delay
10820,Short Delay
33516,Short Delay
30753,Medium Delay
10974,Short Delay
23555,Medium Delay
21489,Short Delay
27599,Short Delay
18574,Short Delay
15886,Short Delay
10041,Medium Delay
4074,Medium Delay
3540,Short Delay
6298,Medium Delay
31096,Short Delay
17025,Short Delay
8916,Medium Delay
1033,Medium Delay
4728,Short Delay
10441,Short Delay
1026,Short Delay
21955,Short Delay
23696,Short Delay
7382,Medium Delay
31480,Long Delay
6490,Medium Delay
23886,Medium Delay
8260,Long Delay
26699,Short Delay
24933,Medium Delay
13409,Short Delay
2015,Medium Delay
1357,Medium Delay
32425,Short Delay
10019,Short Delay
7308,Long Delay
11191,Short Delay
348,Short Delay
26377,Medium Delay
14806,Short Delay
26109,Medium Delay
8308,Short Delay
24376,Short Delay
7344,Long Delay
21167,Short Delay
32157,Short Delay
14306,Short Delay
33111,Medium Delay
2807,Medium Delay
22350,Medium Delay
2122,Short Delay
32610,Medium Delay
11462,Short Delay
33179,Short Delay
20125,Medium Delay
33609,Short Delay
1211,Short Delay
32927,Medium Delay
1763,Short Delay
34826,Medium Delay
343,Medium Delay
23271,Short Delay
11569,Medium Delay
26945,Short Delay
2388,Medium Delay
2161,Long Delay
11705,Short Delay
17779,Medium Delay
3450,Medium Delay
33659,Short Delay
8386,Short Delay
1929,Medium Delay
20110,Medium Delay
1385,Short Delay
11479,Short Delay
23798,Medium Delay
18865,Short Delay
16539,Short Delay
2841,Short Delay
3457,Medium Delay
16826,Medium Delay
30152,Short Delay
15651,Medium Delay
14524,Medium Delay
12683,Medium Delay
7240,Medium Delay
11174,Short Delay
21491,Medium Delay
13580,Short Delay
33904,Medium Delay
21067,Short Delay
25276,Short Delay
30711,Short Delay
13885,Medium Delay
17471,Short Delay
9266,Medium Delay
22647,Long Delay
17737,Medium Delay
16347,Short Delay
28224,Medium Delay
21612,Short Delay
13197,Short Delay
11817,Short Delay
13983,Short Delay
25247,Short Delay
27645,Medium Delay
29615,Short Delay
19890,Medium Delay
35004,Short Delay
34170,Medium Delay
20751,Long Delay
4029,Medium Delay
9323,Medium Delay
32606,Medium Delay
15404,Short Delay
8060,Short Delay
13445,Short Delay
15207,Short Delay
29781,Short Delay
19716,Long Delay
16389,Short Delay
31043,Long Delay
23866,Short Delay
6636,Short Delay
31705,Medium Delay
2123,Short Delay
33361,Medium Delay
28542,Short Delay
34633,Long Delay
27106,Long Delay
18016,Medium Delay
325,Medium Delay
20323,Medium Delay
14197,Short Delay
18083,Medium Delay
29388,Short Delay
32682,Short Delay
12897,Medium Delay
4524,Medium Delay
9589,Short Delay
15337,Medium Delay
29691,Long Delay
4448,Medium Delay
2421,Short Delay
26321,Short Delay
23760,Medium Delay
17820,Short Delay
13226,Short Delay
6014,Medium Delay
19911,Medium Delay
31527,Medium Delay
8333,Medium Delay
2908,Short Delay
10938,Short Delay
24382,Short Delay
9016,Short Delay
11751,Medium Delay
24637,Short Delay
10458,Medium Delay
1238,Short Delay
101,Short Delay
33660,Medium Delay
30325,Short Delay
12662,Short Delay
21260,Short Delay
5530,Short Delay
14209,Medium Delay
21782,Short Delay
24706,Short Delay
11179,Medium Delay
16199,Short Delay
16056,Short Delay
34729,Medium Delay
165,Short Delay
10477,Medium Delay
11160,Short Delay
12817,Medium Delay
7615,Short Delay
27697,Long Delay
22339,Short Delay
22495,Short Delay
28459,Medium Delay
9459,Short Delay
29226,Short Delay
30863,Medium Delay
4289,Long Delay
23577,Short Delay
11099,Medium Delay
15031,Medium Delay
20923,Medium Delay
10109,Short Delay
28198,Short Delay
20952,Medium Delay
3517,Long Delay
28579,Medium Delay
9097,Short Delay
24194,Medium Delay
3585,Short Delay
13142,Short Delay
10155,Short Delay
12098,Medium Delay
15926,Short Delay
74,Medium Delay
10179,Short Delay
3712,Medium Delay
33278,Short Delay
919,Short Delay
24166,Medium Delay
30834,Short Delay
22548,Short Delay
30023,Short Delay
30419,Short Delay
12784,Short Delay
30996,Long Delay
32250,Medium Delay
19476,Short Delay
27637,Medium Delay
23367,Short Delay
14695,Medium Delay
9444,Short Delay
2568,Medium Delay
30667,Medium Delay
1097,Short Delay
17521,Long Delay
33914,Medium Delay
23134,Short Delay
15528,Medium Delay
17453,Medium Delay
12289,Long Delay
22117,Medium Delay
13433,Medium Delay
14215,Medium Delay
7614,Long Delay
33567,Short Delay
8598,Medium Delay
22855,Medium Delay
4498,Short Delay
9649,Long Delay
21116,Short Delay
34590,Short Delay
10385,Medium Delay
13228,Short Delay
32499,Short Delay
22711,Short Delay
24801,Short Delay
24286,Short Delay
23796,Medium Delay
15566,Long Delay
14277,Long Delay
27791,Medium Delay
4890,Medium Delay
32363,Short Delay
26127,Short Delay
838,Medium Delay
3243,Short Delay
29104,Short Delay
10279,Short Delay
12454,Short Delay
17908,Short Delay
16530,Medium Delay
2605,Medium Delay
20995,Medium Delay
23128,Short Delay
7621,Short Delay
22948,Medium Delay
2702,Medium Delay
8042,Medium Delay
1590,Short Delay
23100,Short Delay
27119,Medium Delay
34581,Medium Delay
2285,Short Delay
30181,Short Delay
14939,Short Delay
29785,Medium Delay
17644,Short Delay
20772,Short Delay
4380,Short Delay
3367,Long Delay
19937,Short Delay
31888,Medium Delay
21595,Medium Delay
28009,Short Delay
22058,Medium Delay
31558,Short Delay
10739,Short Delay
23813,Medium Delay
28860,Medium Delay
17358,Short Delay
171,Medium Delay
8917,Short Delay
22998,Short Delay
28187,Medium Delay
3101,Short Delay
34075,Short Delay
3592,Medium Delay
14889,Short Delay
15876,Short Delay
31154,Short Delay
21812,Medium Delay
28975,Medium Delay
30476,Short Delay
1954,Medium Delay
4705,Medium Delay
6769,Medium Delay
34524,Medium Delay
4632,Long Delay
1130,Long Delay
15715,Short Delay
20891,Short Delay
21449,Medium Delay
34203,Short Delay
17907,Short Delay
5450,Medium Delay
3541,Short Delay
19640,Medium Delay
6165,Medium Delay
26380,Medium Delay
21843,Medium Delay
33910,Long Delay
28173,Short Delay
12280,Medium Delay
5851,Short Delay
14868,Short Delay
28194,Short Delay
31334,Medium Delay
822,Medium Delay
16870,Short Delay
9037,Long Delay
11590,Medium Delay
21891,Short Delay
22005,Medium Delay
25941,Medium Delay
14891,Short Delay
29432,Medium Delay
27716,Medium Delay
31823,Medium Delay
12085,Short Delay
10655,Long Delay
34023,Medium Delay
3586,Medium Delay
26732,Medium Delay
6517,Short Delay
32018,Short Delay
6104,Medium Delay
30261,Medium Delay
1719,Short Delay
18387,Short Delay
33810,Long Delay
20929,Medium Delay
31808,Short Delay
1481,Long Delay
3776,Short Delay
1734,Short Delay
35175,Short Delay
27691,Short Delay
32069,Medium Delay
10203,Short Delay
21375,Medium Delay
15228,Short Delay
27247,Medium Delay
33999,Long Delay
3798,Medium Delay
14502,Short Delay
25616,Medium Delay
29967,Long Delay
30351,Medium Delay
14755,Short Delay
3364,Short Delay
18739,Short Delay
26565,Short Delay
27633,Medium Delay
15969,Short Delay
20632,Short Delay
2488,Short Delay
14498,Short Delay
1977,Short Delay
28899,Medium Delay
32337,Medium Delay
12935,Medium Delay
63,Long Delay
24852,Medium Delay
25113,Long Delay
32184,Medium Delay
16369,Medium Delay
6212,Medium Delay
8588,Long Delay
8914,Short Delay
29212,Medium Delay
24266,Short Delay
14650,Medium Delay
19712,Medium Delay
5501,Medium Delay
15256,Short Delay
11385,Short Delay
11185,Short Delay
9334,Short Delay
10824,Long Delay
30339,Medium Delay
11633,Medium Delay
27672,Long Delay
1669,Short Delay
26367,Short Delay
9718,Long Delay
13883,Short Delay
1072,Medium Delay
9962,Short Delay
16520,Short Delay
223,Short Delay
4553,Short Delay
16019,Short Delay
15257,Short Delay
17537,Medium Delay
8003,Short Delay
8599,Short Delay
20633,Short Delay
19599,Medium Delay
18921,Long Delay
5861,Short Delay
33798,Short Delay
34134,Medium Delay
2427,Medium Delay
24616,Medium Delay
9436,Short Delay
12195,Short Delay
7610,Short Delay
32077,Short Delay
4528,Short Delay
236,Short Delay
34569,Short Delay
18677,Short Delay
34355,Medium Delay
2732,Short Delay
12224,Short Delay
21224,Medium Delay
15924,Medium Delay
12025,Short Delay
22893,Medium Delay
26424,Short Delay
13100,Short Delay
26928,Short Delay
10628,Short Delay
3185,Short Delay
21932,Medium Delay
22419,Medium Delay
4341,Short Delay
14902,Short Delay
22395,Short Delay
21818,Short Delay
4108,Short Delay
8462,Short Delay
25506,Medium Delay
7871,Medium Delay
5035,Short Delay
2797,Short Delay
30017,Short Delay
33333,Medium Delay
20834,Short Delay
6491,Medium Delay
13518,Medium Delay
27914,Medium Delay
1754,Short Delay
29831,Short Delay
6486,Short Delay
4041,Medium Delay
25825,Short Delay
20987,Medium Delay
7287,Medium Delay
19595,Short Delay
14743,Short Delay
11504,Short Delay
28839,Medium Delay
16729,Short Delay
2051,Short Delay
6299,Medium Delay
26993,Short Delay
16269,Medium Delay
34099,Long Delay
33645,Medium Delay
2840,Medium Delay
12192,Short Delay
18127,Short Delay
3064,Short Delay
14747,Short Delay
14739,Long Delay
20048,Medium Delay
24410,Medium Delay
30375,Short Delay
24,Medium Delay
31475,Short Delay
17422,Medium Delay
34474,Long Delay
4364,Short Delay
22700,Short Delay
30277,Medium Delay
30241,Medium Delay
5354,Medium Delay
16412,Long Delay
32367,Medium Delay
15862,Medium Delay
15103,Short Delay
27063,Short Delay
6380,Short Delay
21078,Medium Delay
25716,Short Delay
3658,Short Delay
31491,Medium Delay
27479,Short Delay
25446,Long Delay
22773,Long Delay
23393,Short Delay
3160,Medium Delay
7487,Short Delay
26554,Short Delay
23773,Short Delay
14905,Short Delay
28891,Short Delay
2088,Long Delay
31850,Short Delay
9115,Medium Delay
5317,Medium Delay
5898,Medium Delay
30932,Short Delay
15530,Short Delay
18887,Medium Delay
31051,Short Delay
19155,Medium Delay
16484,Long Delay
31423,Medium Delay
32208,Medium Delay
28782,Short Delay
19047,Short Delay
33665,Short Delay
7808,Short Delay
11674,Medium Delay
12600,Short Delay
10138,Short Delay
27913,Medium Delay
29168,Medium Delay
34209,Long Delay
24960,Medium Delay
22186,Short Delay
16661,Short Delay
34592,Long Delay
7444,Medium Delay
7132,Medium Delay
31129,Short Delay
1880,Short Delay
1308,Short Delay
28732,Short Delay
14026,Medium Delay
22685,Medium Delay
16274,Medium Delay
25842,Short Delay
34563,Short Delay
9829,Short Delay
4163,Short Delay
11756,Short Delay
8331,Short Delay
24480,Medium Delay
9691,Short Delay
12047,Medium Delay
30828,Short Delay
28110,Short Delay
17677,Medium Delay
8271,Medium Delay
11646,Short Delay
33115,Short Delay
26085,Short Delay
26212,Medium Delay
28391,Long Delay
22636,Short Delay
32251,Medium Delay
11687,Medium Delay
1380,Short Delay
6438,Medium Delay
7878,Short Delay
4865,Short Delay
19251,Long Delay
22872,Medium Delay
12492,Medium Delay
17030,Short Delay
31011,Medium Delay
27552,Long Delay
1226,Short Delay
818,Short Delay
28344,Short Delay
27700,Medium Delay
22123,Long Delay
1249,Medium Delay
25070,Short Delay
22595,Medium Delay
9440,Short Delay
10995,Medium Delay
6965,Medium Delay
31091,Short Delay
14174,Medium Delay
12635,Medium Delay
17514,Medium Delay
4778,Medium Delay
13046,Short Delay
20536,Long Delay
1121,Short Delay
33253,Medium Delay
20572,Long Delay
29930,Short Delay
34425,Medium Delay
28588,Short Delay
32926,Medium Delay
33898,Medium Delay
18362,Long Delay
25580,Long Delay
32170,Short Delay
5832,Short Delay
1215,Short Delay
9099,Short Delay
1595,Medium Delay
33308,Medium Delay
21529,Short Delay
10205,Long Delay
5877,Medium Delay
26336,Long Delay
26310,Short Delay
3631,Short Delay
8463,Medium Delay
23855,Medium Delay
21148,Medium Delay
2834,Short Delay
32640,Short Delay
10337,Short Delay
15475,Short Delay
3635,Short Delay
17795,Short Delay
16748,Short Delay
16361,Short Delay
34100,Short Delay
16408,Short Delay
8786,Short Delay
33477,Medium Delay
5573,Long Delay
23816,Short Delay
28801,Long Delay
18859,Medium Delay
13548,Short Delay
28514,Medium Delay
29476,Medium Delay
13621,Short Delay
253,Medium Delay
30154,Short Delay
7484,Medium Delay
12521,Medium Delay
26056,Short Delay
9588,Medium Delay
12180,Short Delay
34677,Long Delay
11857,Short Delay
10735,Short Delay
15574,Medium Delay
10354,Short Delay
24659,Medium Delay
17206,Short Delay
3159,Medium Delay
20709,Medium Delay
9198,Short Delay
20969,Short Delay
5636,Short Delay
1995,Short Delay
11811,Medium Delay
2900,Medium Delay
22634,Medium Delay
33258,Medium Delay
5092,Medium Delay
16843,Short Delay
3861,Short Delay
30923,Short Delay
27906,Short Delay
8458,Short Delay
2481,Long Delay
33588,Short Delay
22073,Medium Delay
8143,Short Delay
31167,Medium Delay
8098,Short Delay
9595,Short Delay
11546,Short Delay
30617,Long Delay
10023,Medium Delay
2330,Short Delay
14050,Medium Delay
21873,Medium Delay
8983,Medium Delay
14847,Short Delay
31262,Medium Delay
1521,Medium Delay
10410,Short Delay
28307,Short Delay
3999,Short Delay
2930,Medium Delay
4831,Short Delay
10288,Short Delay
7988,Medium Delay
18190,Medium Delay
24215,Short Delay
2189,Short Delay
22402,Medium Delay
27428,Short Delay
31143,Medium Delay
5756,Short Delay
11427,Short Delay
5978,Short Delay
11745,Short Delay
6773,Medium Delay
9080,Short Delay
27831,Short Delay
20595,Long Delay
29450,Short Delay
21928,Medium Delay
20886,Short Delay
23768,Short Delay
24340,Medium Delay
28075,Medium Delay
13505,Long Delay
8615,Medium Delay
29907,Short Delay
22614,Short Delay
26896,Medium Delay
17631,Short Delay
28553,Short Delay
21440,Short Delay
19950,Short Delay
20756,Short Delay
27112,Short Delay
2501,Medium Delay
6838,Short Delay
34307,Medium Delay
34798,Short Delay
30862,Medium Delay
9866,Long Delay
31898,Short Delay
5743,Short Delay
4747,Short Delay
30177,Medium Delay
6831,Short Delay
7890,Medium Delay
469,Medium Delay
1583,Short Delay
31634,Short Delay
23688,Medium Delay
24622,Short Delay
29081,Short Delay
15623,Short Delay
10635,Medium Delay
21875,Medium Delay
4239,Short Delay
25002,Short Delay
14353,Short Delay
27358,Short Delay
13602,Short Delay
276,Short Delay
27865,Medium Delay
29149,Short Delay
18243,Short Delay
16031,Medium Delay
8211,Medium Delay
5440,Medium Delay
14194,Medium Delay
2923,Long Delay
16169,Long Delay
30278,Short Delay
9884,Short Delay
12968,Short Delay
13502,Medium Delay
12336,Short Delay
25796,Short Delay
17939,Short Delay
26725,Short Delay
9864,Short Delay
6893,Long Delay
24192,Short Delay
27445,Short Delay
21550,Medium Delay
30504,Short Delay
3889,Medium Delay
10411,Short Delay
4346,Short Delay
22463,Short Delay
28489,Long Delay
25926,Medium Delay
26742,Short Delay
2143,Medium Delay
13196,Short Delay
21965,Short Delay
21655,Short Delay
27564,Medium Delay
21561,Medium Delay
990,Short Delay
27817,Long Delay
11037,Short Delay
26989,Short Delay
33853,Long Delay
7962,Short Delay
1518,Short Delay
33884,Medium Delay
12117,Short Delay
29799,Short Delay
34394,Short Delay
31298,Medium Delay
17670,Short Delay
17425,Short Delay
30074,Short Delay
9224,Short Delay
33154,Short Delay
6839,Medium Delay
14149,Medium Delay
28602,Long Delay
21976,Medium Delay
7228,Medium Delay
5841,Medium Delay
22934,Short Delay
21052,Short Delay
34500,Medium Delay
34473,Short Delay
22268,Long Delay
33336,Short Delay
28811,Medium Delay
2717,Medium Delay
4544,Short Delay
15686,Short Delay
12796,Short Delay
808,Short Delay
31453,Medium Delay
29319,Short Delay
18785,Short Delay
16213,Long Delay
6383,Long Delay
20850,Short Delay
895,Medium Delay
25188,Medium Delay
14042,Medium Delay
3867,Short Delay
10855,Medium Delay
11621,Medium Delay
6784,Short Delay
14119,Long Delay
33562,Short Delay
34480,Medium Delay
33052,Long Delay
8751,Medium Delay
15510,Medium Delay
15534,Short Delay
21117,Short Delay
15295,Medium Delay
13451,Short Delay
5085,Medium Delay
23664,Medium Delay
26158,Short Delay
4014,Short Delay
9499,Short Delay
6037,Short Delay
3231,Medium Delay
17353,Short Delay
28804,Short Delay
32813,Medium Delay
18908,Medium Delay
9358,Medium Delay
33406,Short Delay
22520,Long Delay
22644,Short Delay
10033,Short Delay
13980,Short Delay
29758,Long Delay
6261,Medium Delay
14598,Short Delay
11794,Short Delay
27179,Medium Delay
17267,Short Delay
15379,Long Delay
3171,Short Delay
17633,Short Delay
1580,Short Delay
19774,Medium Delay
13712,Medium Delay
11932,Long Delay
33152,Long Delay
25390,Long Delay
14903,Medium Delay
26586,Short Delay
28226,Medium Delay
12172,Medium Delay
33082,Long Delay
2673,Medium Delay
33374,Medium Delay
11667,Medium Delay
31344,Short Delay
16710,Short Delay
13969,Medium Delay
24979,Medium Delay
1224,Medium Delay
24779,Short Delay
34387,Short Delay
11256,Medium Delay
14381,Short Delay
5988,Short Delay
25529,Short Delay
1146,Medium Delay
13762,Medium Delay
28463,Short Delay
21145,Medium Delay
1002,Medium Delay
13555,Medium Delay
31402,Long Delay
17561,Short Delay
4322,Short Delay
22794,Short Delay
16166,Short Delay
28852,Medium Delay
9596,Short Delay
22901,Medium Delay
10523,Medium Delay
8157,Medium Delay
11423,Medium Delay
24091,Long Delay
22632,Short Delay
13734,Short Delay
4686,Long Delay
553,Short Delay
19018,Short Delay
11533,Short Delay
14213,Medium Delay
11820,Medium Delay
1016,Short Delay
2138,Medium Delay
14836,Short Delay
25811,Long Delay
27387,Long Delay
8035,Short Delay
21829,Medium Delay
9874,Medium Delay
24505,Short Delay
24804,Medium Delay
5921,Medium Delay
17192,Short Delay
6816,Medium Delay
3057,Medium Delay
34246,Short Delay
17573,Short Delay
6641,Long Delay
22267,Short Delay
18993,Long Delay
27704,Medium Delay
18824,Medium Delay
23121,Medium Delay
18306,Long Delay
10526,Short Delay
1061,Medium Delay
10916,Short Delay
6608,Medium Delay
12923,Medium Delay
2414,Medium Delay
19660,Medium Delay
16159,Medium Delay
24207,Medium Delay
18342,Medium Delay
22067,Short Delay
6122,Medium Delay
1438,Medium Delay
6828,Short Delay
23871,Medium Delay
26244,Medium Delay
21039,Short Delay
11348,Medium Delay
32227,Medium Delay
32548,Short Delay
10770,Medium Delay
25710,Long Delay
30100,Medium Delay
25346,Medium Delay
26106,Medium Delay
12848,Short Delay
24516,Medium Delay
16631,Short Delay
15292,Short Delay
18670,Medium Delay
20925,Short Delay
19039,Medium Delay
17184,Short Delay
14216,Short Delay
28319,Medium Delay
12609,Short Delay
14074,Short Delay
30407,Short Delay
34531,Short Delay
29479,Short Delay
23619,Medium Delay
12970,Short Delay
14410,Short Delay
24369,Long Delay
30028,Short Delay
13204,Short Delay
3834,Medium Delay
5815,Medium Delay
5768,Medium Delay
21056,Short Delay
33389,Short Delay
3254,Short Delay
20325,Medium Delay
31766,Medium Delay
29821,Short Delay
9359,Short Delay
13493,Medium Delay
4982,Medium Delay
19206,Short Delay
35167,Medium Delay
19260,Medium Delay
14834,Short Delay
31668,Long Delay
10317,Short Delay
19371,Short Delay
13077,Short Delay
33433,Short Delay
20336,Short Delay
35053,Medium Delay
7683,Medium Delay
11014,Medium Delay
15616,Short Delay
3668,Medium Delay
27681,Short Delay
14013,Short Delay
24052,Short Delay
34869,Medium Delay
19785,Short Delay
27593,Short Delay
12033,Short Delay
7972,Long Delay
28789,Short Delay
31117,Medium Delay
32197,Medium Delay
19908,Short Delay
12608,Long Delay
20511,Short Delay
26481,Medium Delay
27060,Short Delay
4482,Short Delay
22947,Short Delay
20122,Short Delay
25135,Short Delay
21360,Short Delay
4549,Short Delay
30285,Medium Delay
15961,Short Delay
27459,Short Delay
806,Medium Delay
28166,Short Delay
14837,Medium Delay
24459,Short Delay
31977,Medium Delay
1257,Short Delay
6167,Long Delay
16280,Medium Delay
25632,Short Delay
12510,Medium Delay
13707,Medium Delay
15730,Short Delay
